Edad,Cantidad_Total,Ticket_Promedio,Genero,Metodo_Pago,cliente_alto_valor
61.0,5,7502.0,Male,Credit Card,1
34.0,2,2400.68,Male,Cash,0
44.0,3,322.56,Male,Credit Card,0
25.0,5,130.75,Male,Cash,0
21.0,1,35.84,Female,Credit Card,0
55.0,2,143.36,Male,Debit Card,0
21.0,1,15.15,Female,Cash,0
46.0,4,4801.28,Male,Cash,1
60.0,2,1200.32,Male,Cash,0
50.0,3,2700.7200000000003,Female,Cash,1
28.0,4,650.56,Female,Cash,0
48.0,1,5.23,Male,Cash,0
46.0,3,322.56,Female,Cash,0
62.0,1,600.17,Female,Cash,0
64.0,2,60.6,Male,Debit Card,0
30.0,1,5.23,Female,Debit Card,0
62.0,2,162.64,Female,Cash,0
31.0,5,130.75,Female,Cash,0
40.0,3,2700.7200000000003,Male,Cash,1
64.0,3,136.35000000000002,Male,Credit Card,0
18.0,3,2700.7200000000003,Male,Credit Card,1
49.0,1,5.23,Male,Cash,0
54.0,4,4801.28,Male,Cash,1
28.0,5,7502.0,Female,Credit Card,1
68.0,1,300.08,Female,Debit Card,0
48.0,4,4801.28,Female,Debit Card,1
62.0,1,40.66,Male,Cash,0
64.0,1,11.73,Male,Cash,0
40.0,3,365.94,Female,Cash,0
45.0,3,47.07,Female,Cash,0
42.0,3,5401.53,Female,Cash,1
53.0,3,47.07,Female,Cash,0
58.0,2,2400.68,Male,Cash,0
35.0,1,1050.0,Male,Cash,0
33.0,2,60.6,Female,Cash,0
63.0,3,2700.7200000000003,Female,Credit Card,1
45.0,2,1200.32,Female,Cash,0
54.0,1,15.15,Female,Debit Card,0
61.0,1,300.08,Female,Debit Card,0
62.0,4,83.68,Male,Debit Card,0
42.0,5,1016.5,Female,Credit Card,0
32.0,5,896.0,Female,Debit Card,0
48.0,5,26250.0,Male,Credit Card,1
41.0,4,573.44,Male,Cash,0
22.0,4,9602.72,Male,Credit Card,1
54.0,3,2700.7200000000003,Male,Credit Card,1
33.0,5,896.0,Female,Credit Card,0
37.0,5,293.25,Male,Credit Card,0
29.0,2,4200.0,Female,Debit Card,1
42.0,4,573.44,Male,Cash,0
